ticker,description,currency,fund_type,url,sector
ISF.L,iShares Core FTSE 100 UCITS ETF,GBP,eq,,Equity - UK
SEML.L,iShares J.P. Morgan EM Local Govt Bond UCITS ETF,USD,bonds,,Bond - EM
EMLC,VanEck JPM EM Local Currency Bond ETF,USD,bonds,,Bond - EM
NLR,VanEck Uranium+Nuclear Energy ETF,USD,eq,,Thematic - Nuclear - Uranium+Nuclear ETFs
URA,Global X Uranium ETF,USD,eq,,Thematic - Nuclear - Uranium+Nuclear ETFs
URNM,Sprott Uranium Miners ETF,USD,eq,,Thematic - Nuclear - Uranium+Nuclear ETFs
NUKZ,Range Nuclear Renaissance Index ETF,USD,eq,,Thematic - Nuclear - Uranium+Nuclear ETFs
ICLN,iShares Global Clean Energy ETF,USD,eq,,Thematic - Clean Energy
XLC,Communication Services Select Sector SPDR Fund,USD,eq,,Sector - Communication Services
VOX,Vanguard Communication Services ETF,USD,eq,,Sector - Communication Services
VGT,Vanguard Information Technology ETF,USD,eq,,Sector - Technology
ITA,iShares U.S. Aerospace & Defense ETF,USD,eq,,Sector - Defence
PAVE,Global X U.S. Infrastructure Development ETF,USD,eq,,Sector - Infrastructure
KIE,SPDR S&P Insurance ETF,USD,eq,,Sector - Financials
ITB,iShares U.S. Home Construction ETF,USD,eq,,Sector - Homebuilders
JETS,U.S. Global Jets ETF,USD,eq,,Sector - Airlines
BOTZ,Global X Robotics & Artificial Intelligence ETF,USD,eq,,Thematic - Robotics
SKYY,First Trust Cloud Computing ETF,USD,eq,,Thematic - Cloud
FINX,Global X FinTech ETF,USD,eq,,Thematic - Fintech
TAN,Invesco Solar ETF,USD,eq,,Thematic - Solar
FAN,First Trust Global Wind Energy ETF,USD,eq,,Thematic - Wind
QCLN,First Trust NASDAQ Clean Edge Green Energy ETF,USD,eq,,Thematic - Clean Energy
LIT,Global X Lithium & Battery Tech ETF,USD,eq,,Thematic - Battery
COPX,Global X Copper Miners ETF,USD,eq,,Sector - Mining
REMX,VanEck Rare Earth/Strategic Metals ETF,USD,eq,,Sector - Mining
ESPO,VanEck Video Gaming and eSports ETF,USD,eq,,Thematic - Gaming
AIQ,Global X Artificial Intelligence & Technology ETF,USD,eq,,Thematic - AI
IBB,iShares Biotechnology ETF,USD,eq,,Thematic - Biotech
IHI,iShares U.S. Medical Devices ETF,USD,eq,,Thematic - Healthcare
GNOM,Global X Genomics & Biotechnology ETF,USD,eq,,Thematic - Genomics
MOO,VanEck Agribusiness ETF,USD,eq,,Sector - Agriculture
WOOD,iShares Global Timber & Forestry ETF,USD,eq,,Sector - Timber


NVDA,NVIDIA,USD,stock,,Thematic - AI
PLTR,Palantir Technologies,USD,stock,,Thematic - AI
AI,C3.ai,USD,stock,,Thematic - AI
AAPL,Apple,USD,stock,,Sector - Technology
MSFT,Microsoft,USD,stock,,Sector - Technology
GOOGL,Alphabet Class A,USD,stock,,Sector - Communication Services
META,Meta Platforms,USD,stock,,Sector - Communication Services
AMZN,Amazon,USD,stock,,Sector - Consumer Discretionary
BABA,Alibaba ADR,USD,stock,,Equity - China
TCEHY,Tencent ADR,USD,stock,,Equity - China
CRWD,CrowdStrike,USD,stock,,Thematic - Cybersecurity
PANW,Palo Alto Networks,USD,stock,,Thematic - Cybersecurity
ZS,Zscaler,USD,stock,,Thematic - Cybersecurity
FTNT,Fortinet,USD,stock,,Thematic - Cybersecurity
NET,Cloudflare,USD,stock,,Thematic - Cybersecurity
DDOG,Datadog,USD,stock,,Thematic - Cloud
SNOW,Snowflake,USD,stock,,Thematic - Cloud
MDB,MongoDB,USD,stock,,Thematic - Cloud
TSM,Taiwan Semiconductor ADR,USD,stock,,Thematic - Semiconductors
AVGO,Broadcom,USD,stock,,Thematic - Semiconductors
AMD,Advanced Micro Devices,USD,stock,,Thematic - Semiconductors
ASML,ASML Holding,USD,stock,,Thematic - Semiconductors
INTC,Intel,USD,stock,,Thematic - Semiconductors
MU,Micron Technology,USD,stock,,Thematic - Semiconductors
AMAT,Applied Materials,USD,stock,,Thematic - Semiconductors
LRCX,Lam Research,USD,stock,,Thematic - Semiconductors
QCOM,Qualcomm,USD,stock,,Thematic - Semiconductors
ARM,Arm Holdings,USD,stock,,Thematic - Semiconductors
ORCL,Oracle,USD,stock,,Sector - Software
CRM,Salesforce,USD,stock,,Sector - Software
ADBE,Adobe,USD,stock,,Sector - Software
NOW,ServiceNow,USD,stock,,Sector - Software
SAP,SAP SE ADR,USD,stock,,Sector - Software
TSLA,Tesla,USD,stock,,Thematic - EV
BYDDY,BYD ADR,USD,stock,,Thematic - EV
NIO,NIO,USD,stock,,Thematic - EV
RIVN,Rivian Automotive,USD,stock,,Thematic - EV
ALB,Albemarle,USD,stock,,Thematic - Battery
SQM,Sociedad Quimica y Minera,USD,stock,,Thematic - Battery
ISRG,Intuitive Surgical,USD,stock,,Thematic - Robotics
ABB,ABB ADR,USD,stock,,Thematic - Robotics
REGN,Regeneron Pharmaceuticals,USD,stock,,Thematic - Biotech
VRTX,Vertex Pharmaceuticals,USD,stock,,Thematic - Biotech
MRNA,Moderna,USD,stock,,Thematic - Biotech
GILD,Gilead Sciences,USD,stock,,Thematic - Biotech
AMGN,Amgen,USD,stock,,Thematic - Biotech
BIIB,Biogen,USD,stock,,Thematic - Biotech
ILMN,Illumina,USD,stock,,Thematic - Genomics
CRSP,CRISPR Therapeutics,USD,stock,,Thematic - Genomics
NTLA,Intellia Therapeutics,USD,stock,,Thematic - Genomics
BEAM,Beam Therapeutics,USD,stock,,Thematic - Genomics
MDT,Medtronic,USD,stock,,Thematic - Healthcare
SYK,Stryker,USD,stock,,Thematic - Healthcare
BSX,Boston Scientific,USD,stock,,Thematic - Healthcare
EW,Edwards Lifesciences,USD,stock,,Thematic - Healthcare
ABT,Abbott Laboratories,USD,stock,,Thematic - Healthcare
JNJ,Johnson & Johnson,USD,stock,,Sector - Healthcare
LLY,Eli Lilly,USD,stock,,Sector - Healthcare
PFE,Pfizer,USD,stock,,Sector - Healthcare
MRK,Merck,USD,stock,,Sector - Healthcare
ABBV,AbbVie,USD,stock,,Sector - Healthcare
NVO,Novo Nordisk ADR,USD,stock,,Sector - Healthcare
NOVN.SW,Novartis,CHF,stock,,Sector - Healthcare
ROG.SW,Roche,CHF,stock,,Sector - Healthcare
AZN.L,AstraZeneca,GBP,stock,,Sector - Healthcare
V,Visa,USD,stock,,Thematic - Fintech
MA,Mastercard,USD,stock,,Thematic - Fintech
PYPL,PayPal,USD,stock,,Thematic - Fintech
SQ,Block,USD,stock,,Thematic - Fintech
ADYEN.AS,Adyen,EUR,stock,,Thematic - Fintech
SOFI,SoFi Technologies,USD,stock,,Thematic - Fintech
TTWO,Take-Two Interactive,USD,stock,,Thematic - Gaming
EA,Electronic Arts,USD,stock,,Thematic - Gaming
RBLX,Roblox,USD,stock,,Thematic - Gaming
7974.T,Nintendo,JPY,stock,,Thematic - Gaming
NFLX,Netflix,USD,stock,,Thematic - Entertainment
DIS,Walt Disney,USD,stock,,Sector - Communication Services
FSLR,First Solar,USD,stock,,Thematic - Solar
ENPH,Enphase Energy,USD,stock,,Thematic - Solar
SEDG,SolarEdge Technologies,USD,stock,,Thematic - Solar
VWS.CO,Vestas Wind Systems,DKK,stock,,Thematic - Wind
ORSTED.CO,Ørsted,DKK,stock,,Thematic - Wind
NEE,NextEra Energy,USD,stock,,Thematic - Clean Energy
PLUG,Plug Power,USD,stock,,Thematic - Hydrogen
BE,Bloom Energy,USD,stock,,Thematic - Hydrogen
XE,X-energy,USD,stock,,Thematic - Nuclear - Small Modular & Micro Reactors
GEV,GE Vernova,USD,stock,,Thematic - Nuclear - Small Modular & Micro Reactors
OKLO,Oklo,USD,stock,,Thematic - Nuclear - Small Modular & Micro Reactors
SMR,NuScale Power,USD,stock,,Thematic - Nuclear - Small Modular & Micro Reactors
NNE,NANO Nuclear Energy,USD,stock,,Thematic - Nuclear - Small Modular & Micro Reactors
RYCEF,Rolls-Royce Holdings OTC,USD,stock,,Thematic - Nuclear - Small Modular & Micro Reactors
BWXT,BWX Technologies,USD,stock,,Thematic - Nuclear - Small Modular & Micro Reactors
LEU,Centrus Energy,USD,stock,,Thematic - Nuclear - Uranium Enrichers
ASPI,ASP Isotopes,USD,stock,,Thematic - Nuclear - Uranium Enrichers
LTBR,Lightbridge,USD,stock,,Thematic - Nuclear - Nuclear Fuel Technology
CCJ,Cameco,USD,stock,,Thematic - Nuclear - Uranium Producers
DNN,Denison Mines,USD,stock,,Thematic - Nuclear - Developers
UEC,Uranium Energy,USD,stock,,Thematic - Nuclear - Uranium Producers
URG,Ur-Energy,USD,stock,,Thematic - Nuclear - Uranium Producers
EU,enCore Energy,USD,stock,,Thematic - Nuclear - Uranium Producers
UUUU,Energy Fuels,USD,stock,,Thematic - Nuclear - Developers
NXE,NexGen Energy,USD,stock,,Thematic - Nuclear - Developers
ISOU,IsoEnergy,USD,stock,,Thematic - Nuclear - Developers
CW,Curtiss-Wright,USD,stock,,Thematic - Nuclear - Services and Equipment
MIR,Mirion Technologies,USD,stock,,Thematic - Nuclear - Services and Equipment
FLR,Fluor,USD,stock,,Thematic - Nuclear - Services and Equipment
BEPC,Brookfield Renewable,USD,stock,,Thematic - Nuclear - Services and Equipment
CEG,Constellation Energy,USD,stock,,Thematic - Nuclear - Power Producers
VST,Vistra,USD,stock,,Thematic - Nuclear - Power Producers
TLN,Talen Energy,USD,stock,,Thematic - Nuclear - Power Producers
PEG,Public Service Enterprise Group,USD,stock,,Thematic - Nuclear - Power Producers
FCX,Freeport-McMoRan,USD,stock,,Sector - Mining
SCCO,Southern Copper,USD,stock,,Sector - Mining
BHP,BHP Group ADR,USD,stock,,Thematic - Nuclear - Uranium Producers
RIO,Rio Tinto ADR,USD,stock,,Sector - Mining
ANTO.L,Antofagasta,GBP,stock,,Sector - Mining
GLEN.L,Glencore,GBP,stock,,Sector - Mining
NEM,Newmont,USD,stock,,Sector - Mining
GOLD,Barrick Gold,USD,stock,,Sector - Mining
AEM,Agnico Eagle Mines,USD,stock,,Sector - Mining
FNV,Franco-Nevada,USD,stock,,Sector - Mining
XOM,Exxon Mobil,USD,stock,,Sector - Energy
CVX,Chevron,USD,stock,,Sector - Energy
SHEL.L,Shell,GBP,stock,,Sector - Energy
BP.L,BP,GBP,stock,,Sector - Energy
TTE,TotalEnergies ADR,USD,stock,,Sector - Energy
EQNR,Equinor ADR,USD,stock,,Sector - Energy
COP,ConocoPhillips,USD,stock,,Sector - Energy
OXY,Occidental Petroleum,USD,stock,,Sector - Energy
JPM,JPMorgan Chase,USD,stock,,Sector - Financials
BAC,Bank of America,USD,stock,,Sector - Financials
WFC,Wells Fargo,USD,stock,,Sector - Financials
C,Citigroup,USD,stock,,Sector - Financials
GS,Goldman Sachs,USD,stock,,Sector - Financials
MS,Morgan Stanley,USD,stock,,Sector - Financials
HSBA.L,HSBC Holdings,GBP,stock,,Sector - Financials
BARC.L,Barclays,GBP,stock,,Sector - Financials
BRK-B,Berkshire Hathaway B,USD,stock,,Sector - Financials
AIG,American International Group,USD,stock,,Sector - Financials
PLD,Prologis,USD,stock,,Sector - Real Estate
AMT,American Tower,USD,stock,,Sector - Real Estate
EQIX,Equinix,USD,stock,,Sector - Real Estate
DLR,Digital Realty Trust,USD,stock,,Sector - Real Estate
LMT,Lockheed Martin,USD,stock,,Sector - Defence
RTX,RTX Corporation,USD,stock,,Sector - Defence
NOC,Northrop Grumman,USD,stock,,Sector - Defence
GD,General Dynamics,USD,stock,,Sector - Defence
BA,Boeing,USD,stock,,Sector - Defence
BA.L,BAE Systems,GBP,stock,,Sector - Defence
RHM.DE,Rheinmetall,EUR,stock,,Sector - Defence
AIR.PA,Airbus,EUR,stock,,Sector - Defence
PG,Procter & Gamble,USD,stock,,Sector - Consumer Staples
KO,Coca-Cola,USD,stock,,Sector - Consumer Staples
PEP,PepsiCo,USD,stock,,Sector - Consumer Staples
COST,Costco Wholesale,USD,stock,,Sector - Consumer Staples
WMT,Walmart,USD,stock,,Sector - Consumer Staples
ULVR.L,Unilever,GBP,stock,,Sector - Consumer Staples
NESN.SW,Nestle,CHF,stock,,Sector - Consumer Staples
HD,Home Depot,USD,stock,,Sector - Consumer Discretionary
NKE,Nike,USD,stock,,Sector - Consumer Discretionary
MCD,McDonald's,USD,stock,,Sector - Consumer Discretionary
SBUX,Starbucks,USD,stock,,Sector - Consumer Discretionary
LOW,Lowe's,USD,stock,,Sector - Consumer Discretionary
MC.PA,LVMH,EUR,stock,,Sector - Luxury
RMS.PA,Hermes International,EUR,stock,,Sector - Luxury
KER.PA,Kering,EUR,stock,,Sector - Luxury
CFR.SW,Compagnie Financiere Richemont,CHF,stock,,Sector - Luxury
CAT,Caterpillar,USD,stock,,Sector - Industrials
HON,Honeywell,USD,stock,,Sector - Industrials
GE,GE Aerospace,USD,stock,,Sector - Industrials
MMM,3M,USD,stock,,Sector - Industrials
ETN,Eaton,USD,stock,,Sector - Industrials
DE,Deere,USD,stock,,Sector - Agriculture
ADM,Archer-Daniels-Midland,USD,stock,,Sector - Agriculture
NTR,Nutrien,USD,stock,,Sector - Agriculture
MOS,Mosaic,USD,stock,,Sector - Agriculture
LIN,Linde,USD,stock,,Sector - Materials
APD,Air Products & Chemicals,USD,stock,,Sector - Materials
SHW,Sherwin-Williams,USD,stock,,Sector - Materials
DUK,Duke Energy,USD,stock,,Sector - Utilities
SO,Southern Company,USD,stock,,Sector - Utilities
UPS,United Parcel Service,USD,stock,,Sector - Transport
FDX,FedEx,USD,stock,,Sector - Transport
DAL,Delta Air Lines,USD,stock,,Sector - Airlines
UAL,United Airlines,USD,stock,,Sector - Airlines
DHI,D.R. Horton,USD,stock,,Sector - Homebuilders
LEN,Lennar,USD,stock,,Sector - Homebuilders
NVR,NVR,USD,stock,,Sector - Homebuilders
T,AT&T,USD,stock,,Sector - Communication Services
VZ,Verizon Communications,USD,stock,,Sector - Communication Services
CMCSA,Comcast,USD,stock,,Sector - Communication Services
TMUS,T-Mobile US,USD,stock,,Sector - Communication Services
XYL,Xylem,USD,stock,,Thematic - Water
AWK,American Water Works,USD,stock,,Thematic - Water
VIE.PA,Veolia Environnement,EUR,stock,,Thematic - Water
