IBKR,Interactive Brokers,USD,stock,,Financials
ICE,Intercontinental Exchange,USD,stock,,Financials
IFF,International Flavors & Fragrances,USD,stock,,Materials
IP,International Paper,USD,stock,,Materials
INTU,Intuit,USD,stock,,Technology
ISRG,Intuitive Surgical,USD,stock,,Healthcare
IVZ,Invesco,USD,stock,,Financials
INVH,Invitation Homes,USD,stock,,Real Estate
IQV,IQVIA,USD,stock,,Healthcare
IRM,Iron Mountain,USD,stock,,Real Estate
JBHT,J.B. Hunt,USD,stock,,Industrials
JBL,Jabil,USD,stock,,Technology
JKHY,Jack Henry & Associates,USD,stock,,Financials
J,Jacobs Solutions,USD,stock,,Industrials
JNJ,Johnson & Johnson,USD,stock,,Healthcare
JCI,Johnson Controls,USD,stock,,Industrials
JPM,JPMorgan Chase,USD,stock,,Financials
KVUE,Kenvue,USD,stock,,Consumer Staples
KDP,Keurig Dr Pepper,USD,stock,,Consumer Staples
KEY,KeyCorp,USD,stock,,Financials
KEYS,Keysight Technologies,USD,stock,,Technology
KMB,Kimberly-Clark,USD,stock,,Consumer Staples
KIM,Kimco Realty,USD,stock,,Real Estate
KMI,Kinder Morgan,USD,stock,,Energy
KKR,KKR & Co.,USD,stock,,Financials
KLAC,KLA Corporation,USD,stock,,Technology
KHC,Kraft Heinz,USD,stock,,Consumer Staples
KR,Kroger,USD,stock,,Consumer Staples
LHX,L3Harris,USD,stock,,Industrials
LH,Labcorp,USD,stock,,Healthcare
LRCX,Lam Research,USD,stock,,Technology
LW,Lamb Weston,USD,stock,,Consumer Staples
LVS,Las Vegas Sands,USD,stock,,Consumer Discretionary
LDOS,Leidos,USD,stock,,Industrials
LEN,Lennar,USD,stock,,Consumer Discretionary
LII,Lennox International,USD,stock,,Industrials
LLY,Lilly (Eli),USD,stock,,Healthcare
LIN,Linde plc,USD,stock,,Materials
LYV,Live Nation Entertainment,USD,stock,,Communication
LMT,Lockheed Martin,USD,stock,,Industrials
L,Loews Corporation,USD,stock,,Financials
LOW,Lowe's,USD,stock,,Consumer Discretionary
LULU,Lululemon Athletica,USD,stock,,Consumer Discretionary
LYB,LyondellBasell,USD,stock,,Materials
MTB,M&T Bank,USD,stock,,Financials
MPC,Marathon Petroleum,USD,stock,,Energy
MAR,Marriott International,USD,stock,,Consumer Discretionary
MRSH,Marsh McLennan,USD,stock,,Financials
MLM,Martin Marietta Materials,USD,stock,,Materials
MAS,Masco,USD,stock,,Industrials
MA,Mastercard,USD,stock,,Financials
MTCH,Match Group,USD,stock,,Communication
MKC,McCormick & Company,USD,stock,,Consumer Staples
MCD,McDonald's,USD,stock,,Consumer Discretionary
MCK,McKesson Corporation,USD,stock,,Healthcare
MDT,Medtronic,USD,stock,,Healthcare
MRK,Merck & Co.,USD,stock,,Healthcare
META,Meta Platforms,USD,stock,,Communication
MET,MetLife,USD,stock,,Financials
MTD,Mettler Toledo,USD,stock,,Healthcare
MGM,MGM Resorts,USD,stock,,Consumer Discretionary
MCHP,Microchip Technology,USD,stock,,Technology
MU,Micron Technology,USD,stock,,Technology
MSFT,Microsoft,USD,stock,,Technology
MAA,Mid-America Apartment Communities,USD,stock,,Real Estate
MRNA,Moderna,USD,stock,,Healthcare
MOH,Molina Healthcare,USD,stock,,Healthcare
TAP,Molson Coors Beverage Company,USD,stock,,Consumer Staples
MDLZ,Mondelez International,USD,stock,,Consumer Staples
MPWR,Monolithic Power Systems,USD,stock,,Technology
MNST,Monster Beverage,USD,stock,,Consumer Staples
MCO,Moody's Corporation,USD,stock,,Financials
MS,Morgan Stanley,USD,stock,,Financials
MOS,Mosaic Company (The),USD,stock,,Materials
MSI,Motorola Solutions,USD,stock,,Technology
MSCI,MSCI Inc.,USD,stock,,Financials
NDAQ,"Nasdaq, Inc.",USD,stock,,Financials
NTAP,NetApp,USD,stock,,Technology
NFLX,Netflix,USD,stock,,Communication
NEM,Newmont,USD,stock,,Materials
NWSA,News Corp (Class A),USD,stock,,Communication
NWS,News Corp (Class B),USD,stock,,Communication
NEE,NextEra Energy,USD,stock,,Utilities
NKE,"Nike, Inc.",USD,stock,,Consumer Discretionary
NI,NiSource,USD,stock,,Utilities
NDSN,Nordson Corporation,USD,stock,,Industrials
NSC,Norfolk Southern,USD,stock,,Industrials
NTRS,Northern Trust,USD,stock,,Financials
NOC,Northrop Grumman,USD,stock,,Industrials
NCLH,Norwegian Cruise Line Holdings,USD,stock,,Consumer Discretionary
NRG,NRG Energy,USD,stock,,Utilities
NUE,Nucor,USD,stock,,Materials
NVDA,Nvidia,USD,stock,,Technology
NVR,"NVR, Inc.",USD,stock,,Consumer Discretionary
NXPI,NXP Semiconductors,USD,stock,,Technology
ORLY,O’Reilly Automotive,USD,stock,,Consumer Discretionary
OXY,Occidental Petroleum,USD,stock,,Energy
ODFL,Old Dominion,USD,stock,,Industrials
OMC,Omnicom Group,USD,stock,,Communication
ON,ON Semiconductor,USD,stock,,Technology
OKE,Oneok,USD,stock,,Energy
ORCL,Oracle Corporation,USD,stock,,Technology
OTIS,Otis Worldwide,USD,stock,,Industrials
PCAR,Paccar,USD,stock,,Industrials
PKG,Packaging Corporation of America,USD,stock,,Materials
PLTR,Palantir Technologies,USD,stock,,Technology
PANW,Palo Alto Networks,USD,stock,,Technology
PSKY,Paramount Skydance Corporation,USD,stock,,Communication
PH,Parker Hannifin,USD,stock,,Industrials
PAYX,Paychex,USD,stock,,Industrials
PAYC,Paycom,USD,stock,,Industrials
PYPL,PayPal,USD,stock,,Financials
PNR,Pentair,USD,stock,,Industrials
PEP,PepsiCo,USD,stock,,Consumer Staples
PFE,Pfizer,USD,stock,,Healthcare
PCG,PG&E Corporation,USD,stock,,Utilities
PM,Philip Morris International,USD,stock,,Consumer Staples
PSX,Phillips 66,USD,stock,,Energy
PNW,Pinnacle West Capital,USD,stock,,Utilities
PNC,PNC Financial Services,USD,stock,,Financials
POOL,Pool Corporation,USD,stock,,Consumer Discretionary
PPG,PPG Industries,USD,stock,,Materials
PPL,PPL Corporation,USD,stock,,Utilities
PFG,Principal Financial Group,USD,stock,,Financials
PG,Procter & Gamble,USD,stock,,Consumer Staples
PGR,Progressive Corporation,USD,stock,,Financials
PLD,Prologis,USD,stock,,Real Estate
PRU,Prudential Financial,USD,stock,,Financials
PEG,Public Service Enterprise Group,USD,stock,,Utilities
PTC,PTC Inc.,USD,stock,,Technology
PSA,Public Storage,USD,stock,,Real Estate
PHM,PulteGroup,USD,stock,,Consumer Discretionary
PWR,Quanta Services,USD,stock,,Industrials
QCOM,Qualcomm,USD,stock,,Technology
DGX,Quest Diagnostics,USD,stock,,Healthcare
Q,Qnity Electronics,USD,stock,,Technology
RL,Ralph Lauren Corporation,USD,stock,,Consumer Discretionary
RJF,Raymond James Financial,USD,stock,,Financials
RTX,RTX Corporation,USD,stock,,Industrials
O,Realty Income,USD,stock,,Real Estate
REG,Regency Centers,USD,stock,,Real Estate
REGN,Regeneron Pharmaceuticals,USD,stock,,Healthcare
RF,Regions Financial Corporation,USD,stock,,Financials
RSG,Republic Services,USD,stock,,Industrials
RMD,ResMed,USD,stock,,Healthcare
RVTY,Revvity,USD,stock,,Healthcare
HOOD,Robinhood Markets,USD,stock,,Financials
ROK,Rockwell Automation,USD,stock,,Industrials
ROL,"Rollins, Inc.",USD,stock,,Industrials
ROP,Roper Technologies,USD,stock,,Technology
ROST,Ross Stores,USD,stock,,Consumer Discretionary
RCL,Royal Caribbean Group,USD,stock,,Consumer Discretionary
SPGI,S&P Global,USD,stock,,Financials
CRM,Salesforce,USD,stock,,Technology
