"Booking ID",Date,Location,Description,"Sub total",Tax,Total
90621294,09/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90621294",£40.00,Free,£40.00
90527304,08/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90527304",-£30.00,Free,-£30.00
90527304,08/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90527304",£30.00,Free,£30.00
90467952,06/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90467952",£40.00,Free,£40.00
90269065,02/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90269065",£40.00,Free,£40.00
90349569,04/Jul/2025,"Barker Drive, NW1 0JF","Payment for booking #90349569",£50.00,Free,£50.00
87690318,10/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87690318",£210.00,Free,£210.00
86076596,07/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #86076596",£105.60,Free,£105.60
85883842,07/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #85883842",£104.00,Free,£104.00
89905029,25/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89905029",£50.00,Free,£50.00
89861942,24/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89861942",£40.00,Free,£40.00
88090772,16/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #88090772",-£80.00,Free,-£80.00
88090772,19/May/2025,"Barker Drive, NW1 0JF","Payment for booking #88090772",£80.00,Free,£80.00
87301262,03/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87301262",£104.00,Free,£104.00
89655332,20/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89655332",£70.00,Free,£70.00
89619248,20/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89619248",£20.00,Free,£20.00
89615707,19/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89615707",£30.00,Free,£30.00
89608437,19/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89608437",£20.00,Free,£20.00
89475899,17/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89475899",£20.00,Free,£20.00
86167952,22/May/2025,"Barker Drive, NW1 0JF","Payment for booking #86167952",£105.60,Free,£105.60
89464713,17/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89464713",£10.00,Free,£10.00
89463467,16/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89463467",£10.00,Free,£10.00
89454945,16/Jun/2025,"Barker Drive, NW1 0JF","Payment for booking #89454945",£10.00,Free,£10.00
86479381,18/May/2025,"Barker Drive, NW1 0JF","Payment for booking #86479381",£132.00,Free,£132.00
87808474,13/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87808474",£104.00,Free,£104.00
87701404,11/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87701404",£104.00,Free,£104.00
70688685,08/May/2025,"Barker Drive, NW1 0JF","Payment for booking #70688685",-£123.74,Free,-£123.74
70688685,08/May/2025,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
86076596,07/May/2025,"Barker Drive, NW1 0JF","Payment for booking #86076596",£105.60,Free,£105.60
85883842,07/May/2025,"Barker Drive, NW1 0JF","Payment for booking #85883842",£104.00,Free,£104.00
88274063,23/May/2025,"Barker Drive, NW1 0JF","Payment for booking #88274063",£40.00,Free,£40.00
87909676,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87909676",£30.00,Free,£30.00
87908782,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87908782",£30.00,Free,£30.00
87906653,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87906653",-£30.00,Free,-£30.00
87906653,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87906653",£30.00,Free,£30.00
87471254,06/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87471254",£10.00,Free,£10.00
87471254,06/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87471254",£50.00,Free,£50.00
86482584,15/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86482584",£46.00,Free,£46.00
88245836,22/May/2025,"Barker Drive, NW1 0JF","Payment for booking #88245836",£40.00,Free,£40.00
87397991,04/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87397991",£50.00,Free,£50.00
87930685,16/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87930685",£40.00,Free,£40.00
87850294,14/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87850294",£50.00,Free,£50.00
87245282,01/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87245282",£40.00,Free,£40.00
87245210,01/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87245210",£40.00,Free,£40.00
88107373,19/May/2025,"Barker Drive, NW1 0JF","Payment for booking #88107373",£60.00,Free,£60.00
87767251,12/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87767251",£40.00,Free,£40.00
87909424,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87909424",£40.00,Free,£40.00
87908329,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87908329",£40.00,Free,£40.00
87906501,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87906501",-£40.00,Free,-£40.00
87906501,15/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87906501",£40.00,Free,£40.00
86167952,09/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86167952",£105.60,Free,£105.60
87525596,12/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87525596",-£40.00,Free,-£40.00
87691498,11/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87691498",£40.00,Free,£40.00
87525596,07/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87525596",£40.00,Free,£40.00
86479381,15/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86479381",£132.00,Free,£132.00
85399471,23/Mar/2025,"Barker Drive, NW1 0JF","Payment for booking #85399471",£104.00,Free,£104.00
87463429,06/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87463429",£40.00,Free,£40.00
87300715,02/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87300715",£40.00,Free,£40.00
86765913,21/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86765913",£46.00,Free,£46.00
87435114,05/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87435114",£40.00,Free,£40.00
70688685,08/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #70688685",£123.74,Free,£123.74
86076596,07/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86076596",£105.60,Free,£105.60
85883842,03/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #85883842",£104.00,Free,£104.00
87317192,03/May/2025,"Barker Drive, NW1 0JF","Payment for booking #87317192",£40.00,Free,£40.00
87143789,29/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #87143789",£40.00,Free,£40.00
87029002,27/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #87029002",£52.00,Free,£52.00
86961365,25/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86961365",£40.00,Free,£40.00
85753691,31/Mar/2025,"Barker Drive, NW1 0JF","Payment for booking #85753691",£59.50,Free,£59.50
86912413,24/Apr/2025,"Barker Drive, NW1 0JF","Payment for booking #86912413",£13.50,Free,£13.50
